Year,Null,Afghanistan,Albania,Algeria,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belgium,Benin,Bolivia,Bosnia,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Haiti,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kenya,"Korea, South",Kuwait,Kyrgyzstan,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Mali,Mexico,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Scotland,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,The Bahamas,Trinidadian and Tobagonian,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Venezuela,Vietnam,Zimbabwe
1959,0,0,0,0,0,0,6,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,87,0,10,0,0,1,0,0,0,0,0,0,0,0,0,7,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,34,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,17,486,0,0,0,0
1960,0,0,0,0,0,1,2,0,0,46,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,53,0,20,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,13,0,0,1,0,0,0,0,0,0,0,0,14,222,0,2,0,0
1961,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,38,0,111,0,0,1,0,0,3,0,0,0,0,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,20,0,0,1,25,0,0,0,0,0,0,0,0,4,0,0,7,12,0,0,0,0,0,0,0,1,0,0,0,14,273,2,0,0,0
1962,0,0,0,0,1,0,3,0,0,6,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,45,0,65,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,126,0,0,0,0,0,0,0,0,10,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,14,216,2,1,0,0
1963,0,0,0,0,7,0,16,0,0,10,0,0,0,0,0,0,0,0,4,32,0,7,0,0,0,2,0,0,1,1,0,0,0,0,0,0,116,0,31,0,0,0,0,0,0,2,0,0,0,1,0,47,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,0,2,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,11,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,16,630,0,1,0,5
1964,0,0,0,0,11,8,82,0,0,139,0,0,0,4,0,0,0,0,10,9,0,2,0,0,0,1,8,0,14,8,0,0,0,0,0,2,8647,1,238,0,1,2,0,0,1,3,0,0,0,2,70,175,32,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,26,0,0,0,0,0,0,1,0,0,0,23,0,33,6,2,0,0,0,0,0,0,2,0,1205,0,0,13,100,0,0,0,0,0,0,0,0,0,1,0,693,1492,1,0,0,0
1965,0,0,0,0,7,0,5,0,0,0,0,0,0,19,0,0,0,0,12,23,0,33,0,0,0,1,9,0,1,35,0,0,0,0,0,1,640,0,75,0,2,0,0,0,0,1,0,2,0,0,6,100,103,0,0,1,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,13,0,5,0,0,0,0,0,0,1,0,48,0,1,2,33,0,0,0,0,0,0,0,0,0,0,0,59,657,0,7,0,0
1966,0,0,0,0,7,2,11,0,0,26,0,0,0,2,0,0,0,0,3,2,0,1,0,0,0,1,1,0,120,2,0,0,0,0,1,4,484,0,98,0,0,1,0,0,0,3,0,0,0,0,30,79,31,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,0,0,7,33,0,0,0,0,0,0,0,0,0,0,0,45,886,0,0,0,0
1967,0,0,0,0,47,11,18,0,0,21,0,2,0,18,0,0,0,0,49,36,3,3,0,62,0,3,3,0,63,1,5,0,0,0,0,1,174,0,141,0,0,0,0,2,0,1,0,0,0,1,4,77,67,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,24,0,0,0,0,0,0,0,0,0,0,8,1,0,3,14,0,0,2,0,0,0,4,2,25,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,276,1211,3,9,0,1
1968,0,0,0,0,22,0,9,0,0,10,0,0,0,36,0,0,0,0,7,24,0,16,0,0,0,0,4,0,5,3,0,0,0,0,0,0,5217,0,97,0,0,0,0,0,0,0,0,0,0,0,0,86,16,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,13,0,0,0,30,0,0,0,0,5,0,19,0,1,1,5,0,0,0,0,0,0,0,0,12,0,0,1,28,0,0,0,0,0,0,0,0,0,1,0,74,9264,6,18,0,0
